CSA,Czech Airlines a.s.
3KA,Monument Valle - Air Taxi
7CF,Costal Airway
5NS,New England Aviaiton
9FX,Apache Airlines - Air Taxi
2XB,Gay Airways - Air Taxi
0HO,Aviogenex (Yugoslavia)
4ZT,Hughes Airwest  / Military - US Marine Air Corps
8SX,SAVCO
6CK,Shelter Cove Sea Park
0UP,Toa DomestiAirline (Japan)
8EB,Anchorage Helicopter - Air Taxi
2XG,Air Ivoire
5PL,All Nippon Airways /  Japanese Air Force
3ZY,Trans Alaska Helicopter - Air Taxi
7RC,Downeast Airlines
1JH,Pan International
9UU,C and C Aviaiton - Air Taxi
3MZ,SceniAir Lines
1WL,Alpena Flying Service - Air Taxi
5OQ,Monmouth Airways
8GV,Merpati Nusantara Airlines
7RH,Sudan Airways
0JM,SAESA
4BR,Kime Flying Service - Air Taxi
2LE,Lineas Aéreas la Urraca
6DI,PENAS
4OV,Clarkes Thunder - Air Taxi
8GA,TAC Colombia
1YE,Hankins Airways - Air Taxi
0IR,Sun Valley Airways - Air Taxi
3AW,Alii Air Hawaii - Air Taxi
7SB,Sterling Airways
5DN,EgyptAir
9VS,AVENSA
7FF,Helaire Helicopter
1XJ,Aerotechnia
4PO,Ross Aviation - Air Taxi
3AB,Petrolium Helicopter
6SG,Amazonese Importacao e Exportacao
0KK,Fairbanks Air - Air Taxi
8UX,Smyer Aircraft - Air Taxi
2MC,Air Central
0XO,Seventy Airways - Air Taxi
4PT,North Central Airlines / Air Wisconsin
7HY,Inter City Flug
6RK,Casino Air - Air Taxi
9KP,PacifiSouthwest Airlines
3CU,Military - Royal Norwegian Air Force
1MH,AVIANCA / AVIANCA
